longitude,latitude,count,weight,location
113.6939015,34.7899853,63656,1,丰乐路东风路南向北
113.6939015,34.7899853,63656,1,东明路金水路南向北
113.726751,34.761945,63656,1,金水路通泰路
113.6995101,34.76412318,45423,0.713569813,金水路（未来路至燕西路）  西向东
113.6995056,34.76412729,45105,0.708574211,金水路（燕西路至未来路）  东向西
113.6944041,34.764163,42237,0.663519543,金水路（金水路与东明路交叉口西口）
113.7995348,34.7218949,39558,0.621433958,航海东路经开第十八大街东向西
113.6762231,34.7810488,36073,0.566686565,花园路（红专路至红旗路）  北向南
113.523142,34.770856,35991,0.565398391,西四环昌达路北(南向北)
113.523142,34.770856,35991,0.565398391,西四环昌达路北（北向南）
113.6754419,34.81898505,35416,0.556365464,花园路（国基路至水科路）北向南
113.6759961,34.76042219,33788,0.530790499,紫荆山路（东里路至顺河路）  南向北
113.6951895,34.79250027,33123,0.520343723,东明路（东风路至明鸿路）  南向北
113.6758019,34.79456498,32650,0.512913158,花园路（农科路至东风路）  南向北
113.6246996,34.8229923,32417,0.509252859,金杯路宏达路南向北
113.6246996,34.82299238,32417,0.509252859,金杯路（宏达路至银河路）南向北
113.6878029,34.70036011,32417,0.509252859,南三环（紫辰路至郑新路）  东向西
113.624233,34.8147,29276,0.459909514,金杯路北三环东北主道
113.6760863,34.7561132,29276,0.459909514,紫荆山路民生银行南向北
113.5790183,34.80779556,25522,0.400936283,科学大道（垂柳路至郁香路）东向西
113.6757383,34.80040177,25263,0.396867538,花园路（畜牧路至茂花路）南向北
113.6609412,34.74573417,24940,0.391793389,菜市街（敦睦路至城南路）  西向东
113.5766553,34.8086448,24485,0.384645595,科学大道（垂柳路至郁香路）西向东
113.6760863,34.7561132,24418,0.383593063,紫荆山路民生银行北向南
113.7057376,34.65700406,24278,0.381393741,郑新公路苏庄卫生所（南四环至郑州绕城高速）北向南
113.6757469,34.80023603,24107,0.378707427,花园路（畜牧路至茂花路）北向南
113.6469655,34.84583837,23609,0.370884127,文化路（连霍高速至龙门路）北向南
113.6679353,34.87186625,23272,0.365590046,迎宾路（花园北路至银通桐）西向东
113.7057376,34.65700406,23272,0.365590046,郑新公路苏庄卫生所（郑州绕城高速至南四环）南向北
113.4487112,34.77142051,23123,0.36324934,赵家庄卡口新
113.6762041,34.75099908,22802,0.358206611,紫荆山路（商城路至东大街）  北向南
113.756435,34.755825,22513,0.353666583,商都路中州大道卡口
113.5944214,34.75819452,21279,0.334281136,建设路（秦岭路至华山路）  东向西
113.6762041,34.75099908,21136,0.332034686,紫荆山路（东大街至商城路）  南向北
113.6281049,34.6894393,20609,0.323755812,嵩山路杏贾路北(南向北)
113.6754878,34.81896993,20541,0.322687571,花园路国基路南向北
