longitude,latitude,count,weight,location
113.6939015,34.7899853,4343,1,丰乐路东风路南向北
113.6939015,34.7899853,4343,1,东明路金水路南向北
113.726751,34.761945,4343,1,金水路通泰路
113.6995056,34.76412729,3039,0.699746719,金水路（燕西路至未来路）  东向西
113.6995101,34.76412318,2774,0.638728989,金水路（未来路至燕西路）  西向东
113.7995348,34.7218949,2692,0.619848031,航海东路经开第十八大街东向西
113.756435,34.755825,2673,0.615473175,商都路中州大道卡口
113.6944041,34.764163,2449,0.563895924,金水路（金水路与东明路交叉口西口）
113.5766553,34.8086448,2328,0.536034999,科学大道（垂柳路至郁香路）西向东
113.6754419,34.81898505,2319,0.533962699,花园路（国基路至水科路）北向南
113.6951895,34.79250027,2225,0.512318674,东明路（东风路至明鸿路）  南向北
113.523142,34.770856,2159,0.497121805,西四环昌达路北(南向北)
113.523142,34.770856,2159,0.497121805,西四环昌达路北（北向南）
113.6246996,34.8229923,2077,0.478240847,金杯路宏达路南向北
113.6246996,34.82299238,2077,0.478240847,金杯路（宏达路至银河路）南向北
113.6609412,34.74573417,2077,0.478240847,菜市街（敦睦路至城南路）  西向东
113.6878029,34.70036011,2077,0.478240847,南三环（紫辰路至郑新路）  东向西
113.6759961,34.76042219,2058,0.473865991,紫荆山路（东里路至顺河路）  南向北
113.6762231,34.7810488,2037,0.469030624,花园路（红专路至红旗路）  北向南
113.5634311,34.78208757,2012,0.463274234,化工路（克隆路至凯旋路）西向东
113.6758019,34.79456498,1943,0.447386599,花园路（农科路至东风路）  南向北
113.6469655,34.84583837,1934,0.445314299,文化路（连霍高速至龙门路）北向南
113.6762041,34.75099908,1829,0.421137463,紫荆山路（商城路至东大街）  北向南
113.624233,34.8147,1757,0.404559061,金杯路北三环东北主道
113.6760863,34.7561132,1757,0.404559061,紫荆山路民生银行南向北
113.7057376,34.65700406,1737,0.399953949,郑新公路苏庄卫生所（南四环至郑州绕城高速）北向南
113.4487112,34.77142051,1731,0.398572415,赵家庄卡口新
113.6281049,34.6894393,1729,0.398111904,嵩山路杏贾路北(南向北)
113.6757469,34.80023603,1574,0.362422289,花园路（畜牧路至茂花路）北向南
113.6757383,34.80040177,1544,0.355514621,花园路（畜牧路至茂花路）南向北
113.286597,34.808526,1519,0.349758232,中心路汝南路
113.6523521,34.70010418,1519,0.349758232,南溪路（南三环至沅江路）  南向北
113.6763166,34.68307112,1519,0.349758232,紫荆山南路（南四环至宇通路）南向北
113.607785,34.71237495,1518,0.349527976,桐柏路（长江路至航海路） 南向北
113.719452,34.61355129,1479,0.340548008,龙湖锦艺城卡口
113.6679353,34.87186625,1467,0.337784941,迎宾路（花园北路至银通桐）西向东
113.7057376,34.65700406,1467,0.337784941,郑新公路苏庄卫生所（郑州绕城高速至南四环）南向北
113.6760863,34.7561132,1424,0.327883951,紫荆山路民生银行北向南
113.6224751,34.6891886,1387,0.319364495,嵩山路杏贾路北(北向南)
113.6594304,34.80513799,1384,0.318673728,文化路（东风路至文劳路）  南向北
113.5790183,34.80779556,1375,0.316601428,科学大道（垂柳路至郁香路）东向西
113.3491723,34.8250566,1362,0.313608105,荥密路金寨东
113.3233,34.81125,1350,0.310845038,金三角
113.7131819,34.70027127,1340,0.308542482,文治路（宽广市场至南三环）  南向北
113.6221919,34.73211668,1316,0.303016348,嵩山路（汝河路至淮河路）  北向南
113.701089,34.750474,1316,0.303016348,长城康桥花园东门出口
113.5944214,34.75819452,1307,0.300944048,建设路（华山路至秦岭路） 西向东
113.5944214,34.75819452,1299,0.299102003,建设路（秦岭路至华山路）  东向西
113.2967,34.8055,1297,0.298641492,中心路淮阳路
113.626399,34.6603929,1287,0.296338936,南四环嵩山路南(南向北)
113.6083033,34.75687596,1260,0.290122035,建设路（文化宫路至桐柏路）  东向西
113.6279655,34.73125721,1246,0.286898457,嵩山路（汝河路至淮河路）  南向北
113.6438248,34.75088553,1236,0.284595901,大学路（河医立交至中原路）  南向北
113.7965836,34.7001412,1223,0.281602579,南三环十七大街东向西
113.6754878,34.81896993,1215,0.279760534,花园路国基路南向北
113.6979075,34.7757471,1193,0.274694911,黄河路（黄河路姚寨路交叉口东口）
113.673105,34.86426283,1182,0.2721621,花园路（开元路至英才街）北向南
113.697966,34.75189249,1182,0.2721621,未来路熊耳河
113.29533,34.80213,1176,0.270780566,许昌路淮阳路
113.5245762,34.7097966,1174,0.270320055,东方路同兴街北(北向南)
113.5474986,34.76298448,1174,0.270320055,建设路（雪松路至西岗村）  西向东
113.5718142,34.7483767,1167,0.268708266,中原路杏湾路（西向东）
113.6606174,34.79188575,1159,0.266866222,文化路（白庙路至俭学街）  北向南
113.5493477,34.80866963,1149,0.264563666,科学大道（雪松路至石楠路）西向东
113.5788036,34.7485831,1148,0.26433341,西三环中原路北向南
113.6236737,34.71089129,1147,0.264103155,长江路（嵩山路至兴华街）  东向西
113.7891021,34.7018112,1147,0.264103155,南三环十五大街东向西
113.7000257,34.7683927,1136,0.261570343,未来路纬二路北口
113.563242,34.748706,1125,0.259037532,中原路中原大桥（东向西）
113.6213338,34.66309396,1125,0.259037532,嵩山路（南四环至郑尧高速）  北向南
113.6315081,34.80972234,1115,0.256734976,索凌路（北三环至博颂路）北向南
113.5346386,34.7023005,1112,0.256044209,南四环郑少高速(北向南)
113.5690878,34.87969985,1111,0.255813953,江山路索须河桥北（大河路至开元路）北向南
113.30091,34.80061,1093,0.251669353,许昌路金屏路
113.4538268,34.75057439,1089,0.250748331,中原路桃贾路卡口
113.7015764,34.7729103,1085,0.249827308,中州大道未来路南口
113.6221361,34.7335613,1081,0.248906286,嵩山路汝河路1南向北
113.606761,34.757217,1078,0.248215519,建设路（桐柏路至伏牛路）东向西
113.6251927,34.8787208,1078,0.248215519,金河路大河路北向南
113.6251927,34.87872082,1078,0.248215519,金河路（北四环至新城路）北向南
113.524935,34.830756,1064,0.244991941,西四环与月季街西向东
113.524935,34.830756,1064,0.244991941,西四环与月季街西向东
113.7111814,34.75852143,1064,0.244991941,福元路（英协路至玉凤路）  东向西
113.6380669,34.75166413,1060,0.244070919,大学路（河医立交至中原路）  北向南
113.4959047,34.7640297,1048,0.241307852,郑上路杭州路(西向东)
113.6750057,34.75031656,1047,0.241077596,东大街（管城街至紫荆山路）  西向东
113.5571321,34.7624077,1040,0.239465807,建设路西岗村（西向东）
113.558695,34.81577,1039,0.239235551,金梭路枫杨街北口
113.5980607,34.7577794,1029,0.236932996,建设路秦岭路东（东向西）
113.5352653,34.76297429,1023,0.235551462,建设路（长椿路至雪松路）  西向东
113.6237068,34.72986569,1022,0.235321207,淮河路（淮北街至勤劳路）  东向西
113.621437,34.665102,1020,0.234860695,南四环与嵩山南路北向南
113.621437,34.665102,1020,0.234860695,南四环与嵩山南路北向南
